codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00994,00986,00995,00987,00992,00993,00983,00985,00989,00984,00991,00990,00988,00996
04,001,CAPITAL,1478,47738,0,0,4,212,26,2,3,3,5,1,8,5,1,2,0,0,0
04,001,CAPITAL,1478,47740,0,0,4,205,15,8,5,2,3,4,9,9,0,0,2,0,0
04,001,CAPITAL,1478,47736,0,0,3,200,12,11,3,1,2,2,16,7,0,0,1,0,0
04,001,CAPITAL,1478,47739,0,0,3,199,17,8,1,1,2,7,11,6,0,0,0,0,0
04,003,COLÓN,1555,49174,0,0,6,199,31,55,13,2,5,9,3,7,3,0,0,0,0
04,001,CAPITAL,1478,47735,0,0,4,191,17,14,9,0,0,2,9,6,1,1,0,0,0
04,001,CAPITAL,1478,47741,0,0,2,191,21,8,6,1,4,2,10,15,0,0,1,0,0
04,001,CAPITAL,1479,47744,0,0,7,190,33,22,7,0,1,8,9,9,0,1,1,0,0
04,001,CAPITAL,1479,47747,0,0,5,189,36,29,9,1,4,5,21,3,1,0,0,0,1
04,001,CAPITAL,1478,47734,0,0,3,187,20,11,4,0,3,5,19,9,1,1,0,0,0
04,001,CAPITAL,1478,47737,0,0,3,187,15,8,7,1,4,2,13,5,1,2,0,0,0
04,001,CAPITAL,1479,47752,0,0,3,185,32,19,10,2,4,8,23,9,1,2,0,0,1
04,001,CAPITAL,1479,47745,0,0,2,184,42,23,11,0,3,7,17,5,2,0,2,0,0
04,001,CAPITAL,1479,47746,0,0,6,184,41,18,15,0,2,12,15,3,0,1,0,0,1
04,001,CAPITAL,1479,47750,0,0,2,182,45,18,13,0,4,3,14,6,0,1,0,0,0
04,001,CAPITAL,1470,47449,0,0,0,180,35,50,20,0,2,13,0,8,3,0,0,0,0
04,001,CAPITAL,1478,47733,0,0,5,177,18,11,8,1,4,4,10,7,0,5,0,0,1
04,001,CAPITAL,1479,47751,0,0,7,177,0,28,7,2,5,9,12,5,1,0,33,0,0
04,001,CAPITAL,1479,47753,0,0,1,177,33,17,13,0,3,7,30,6,1,0,0,0,1
04,001,CAPITAL,1479,47756,0,0,6,176,40,22,6,3,2,7,13,4,0,2,0,1,0
